City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
73,Terney,45.0503,136.6092,12.92,53,0,9.26,RU,2022-01-31 02:40:55
74,Castro,-24.7911,-50.0119,62.55,99,100,7.49,BR,2022-01-31 02:40:55
75,Abu Samrah,35.3029,37.1841,41.34,76,100,2.95,SY,2022-01-31 02:40:56
76,Pitanga,-24.7572,-51.7614,63.55,100,56,4.52,BR,2022-01-31 02:40:56
77,Kamenka,51.3223,42.7678,30.74,96,100,18.99,RU,2022-01-31 02:40:56
78,Aklavik,68.2191,-135.0107,4.03,89,100,7.16,CA,2022-01-31 02:40:57
79,Hobart,-42.8794,147.3294,86.22,61,20,3.0,AU,2022-01-31 02:40:57
80,Avarua,-21.2078,-159.775,77.05,83,100,8.05,CK,2022-01-31 02:40:58
81,Qaqortoq,60.7167,-46.0333,18.45,84,100,19.15,GL,2022-01-31 02:40:58
82,Tuatapere,-46.1333,167.6833,70.83,66,93,7.81,NZ,2022-01-31 02:40:59
83,Bethel,41.3712,-73.414,22.19,66,0,0.0,US,2022-01-31 02:40:59
84,Leningradskiy,69.3833,178.4167,-15.56,94,85,4.83,RU,2022-01-31 02:41:00
85,Petropavlovsk-Kamchatskiy,53.0452,158.6483,25.39,74,75,6.71,RU,2022-01-31 02:41:00
86,Victoria,22.2855,114.1577,59.32,75,96,13.0,HK,2022-01-31 02:40:31
87,Isangel,-19.55,169.2667,86.11,84,75,4.61,VU,2022-01-31 02:37:47
88,Esperance,-33.8667,121.9,71.44,69,70,19.13,AU,2022-01-31 02:41:01
89,Puerto Leguizamo,-0.1934,-74.7819,79.54,66,100,2.46,CO,2022-01-31 02:41:01
90,Dalby,-27.1833,151.2667,88.5,33,62,7.63,AU,2022-01-31 02:42:02
91,San Ramon,37.7799,-121.978,53.96,77,0,6.91,US,2022-01-31 02:39:20
92,Albany,42.6001,-73.9662,12.85,61,31,3.09,US,2022-01-31 02:42:02
93,Karpathos,35.507,27.2132,53.56,87,14,18.41,GR,2022-01-31 02:42:03
94,Langsa,4.4683,97.9683,83.03,70,91,1.74,ID,2022-01-31 02:42:03
95,Kaitangata,-46.2817,169.8464,64.58,73,68,5.23,NZ,2022-01-31 02:42:04
96,Ubatuba,-23.4339,-45.0711,73.92,89,100,2.8,BR,2022-01-31 02:42:04
97,Te Anau,-45.4167,167.7167,73.53,61,97,5.73,NZ,2022-01-31 02:42:04
98,Mahon,39.8885,4.2658,48.76,81,0,8.05,ES,2022-01-31 02:42:05
99,Manzil Salim,35.8567,8.4765,30.2,49,0,4.0,TN,2022-01-31 02:42:06
100,Guangyuan,32.442,105.823,43.92,55,83,1.83,CN,2022-01-31 02:39:10
101,Kloulklubed,7.0419,134.2556,82.56,69,92,12.82,PW,2022-01-31 02:40:08
102,Luanda,-8.8368,13.2343,76.28,88,100,6.44,AO,2022-01-31 02:40:16
103,Mareeba,-17.0,145.4333,91.33,65,99,3.85,AU,2022-01-31 02:42:07
104,Glendive,47.1053,-104.7125,37.49,76,40,6.91,US,2022-01-31 02:42:07
105,Leninskoye,41.7589,69.3864,31.93,50,54,2.48,KZ,2022-01-31 02:42:08
106,Kapaa,22.0752,-159.319,78.78,65,0,8.05,US,2022-01-31 02:42:08
107,Karaton,-6.3424,106.1045,80.76,71,98,4.21,ID,2022-01-31 02:42:09
108,Georgetown,5.4112,100.3354,84.13,82,20,3.0,MY,2022-01-31 02:41:38
109,Aromashevo,56.8602,68.6375,9.07,95,100,5.77,RU,2022-01-31 02:42:09
110,Alvorada,-12.48,-49.1247,70.12,97,100,2.91,BR,2022-01-31 02:42:10
111,Paamiut,61.994,-49.6678,24.62,96,100,9.78,GL,2022-01-31 02:37:23
112,Nikolskoye,59.7035,30.7861,26.49,97,100,4.99,RU,2022-01-31 02:42:10
113,Nyurba,63.2842,118.3319,-17.14,99,75,4.09,RU,2022-01-31 02:42:11
114,Lasa,46.6166,10.7002,42.26,39,50,4.41,IT,2022-01-31 02:42:11
115,Viedma,-40.8135,-62.9967,58.96,42,79,6.93,AR,2022-01-31 02:40:25
116,Mandalgovi,45.7625,106.2708,4.35,59,5,7.47,MN,2022-01-31 02:42:12
117,Barmer,25.75,71.3833,62.87,77,0,2.62,IN,2022-01-31 02:42:12
118,Kununurra,-15.7667,128.7333,80.58,83,75,25.32,AU,2022-01-31 02:42:12
119,Hofn,64.2539,-15.2082,24.82,43,100,11.34,IS,2022-01-31 02:42:13
120,Norman Wells,65.282,-126.8329,-23.76,69,75,2.3,CA,2022-01-31 02:42:13
121,Haines Junction,60.7522,-137.5108,4.95,56,41,6.91,CA,2022-01-31 02:42:14
122,Tiksi,71.6872,128.8694,-17.36,100,100,3.8,RU,2022-01-31 02:42:14
123,Meulaboh,4.1363,96.1285,83.57,69,63,3.33,ID,2022-01-31 02:42:15
124,Santo Tomas,14.1079,121.1414,86.56,61,59,13.0,PH,2022-01-31 02:42:15
125,Taltal,-25.4,-70.4833,65.52,78,11,3.44,CL,2022-01-31 02:42:16
126,Fare,-16.7,-151.0167,81.07,70,10,10.6,PF,2022-01-31 02:42:16
127,Jamestown,42.097,-79.2353,17.24,79,100,0.0,US,2022-01-31 02:42:17
